0;S;947,493,233
1;S;964,706,121
2;S;174,53,537
3;S;918,974,211,111,517
4;S;630,464,829,675,408,964
5;S;720,405,744,891,169
6;I;337,12,132,298,964,288,622,577
7;S;730,180,517,922,849
8;S;731,115,964,947
9;S;180,754,622,731,964,115
10;S;833,261,260,622,115,312
11;S;622,49,847,800
12;S;964,6,144,944
13;S;904,947,163
14;S;61,411,268,788,673,710,949
15;S;895,879,494,445,570,964,720,784,929,708,731,138,559,293,836,192,838,426,180,853,558,616
16;S;833,720,731,454,470,944,891,622
17;S;553,49,46,577,261,755,796,115,786,633
18;S;115,964,731,942
19;S;979,558,731
20;S;744,619,314,53,81,577,286,520,259,121,836,833,327,273,616,537,915,876,548,187,947,731,807,622,434,570,132,550,240,594,69,460,755
21;S;731,622,517
22;S;716,838,121,731
23;S;731,855,958,904,485,132,947,559,833
24;I;559,930,132,829,622,553
25;S;831,494,253,517
26;S;964,622,779
27;S;754,901,805
28;S;461,180,796,553,857,226,836,619,709,622
29;S;86,947,132,495,308,537
30;S;107,58,559
31;S;904,180,53,261,101,226
32;S;836,261,473,537,113,622,612,731,311,446,436,782,180,929,904,977,325
33;S;109,905,67,180
34;I;121,744,577,853,589,695,537
35;S;602,180,947,581
36;S;904,496,976
37;I;282,487,833
38;S;51,133,499,793
39;S;196,782,947
40;S;938,505,964,253,731
41;S;708,132,577
42;S;622,954,132,581,944,634,777,964,731
43;S;830,567,286,634,619
44;S;339,248,964,427,754,153,475,878,434
45;S;706,891,731
46;S;49,17,944
47;S;273,689,206,282,526,234,261
48;S;164,374,194,782
49;S;53,938,187,619,295,64,570,261,550,333,362,343,618,153,258,904,594,622,565,833,239,275,361,46,276,168,974,517,951,344,947,731,891,11,485,243,577,58,489,605,706,494,132,474,838,803,180,17,771,533,282,559,944,543,561,980,475,754,964,855,897,666,535,102,388,977,582,428
50;S;533,260,719,958,122,153,689,539,132,968,577,964,243,431
51;S;38,720,944
52;S;458,132,134,612,88,485,660,111,494,947,855,964,450,891
53;S;947,537,2,833,974,622,114,434,639,731,822,577,20,392,861,328,440,284,200,744,584,567,446,49,895,765,883,261,906,846,803,58,527,705,194,930,559,159,305,727,156,841,198,838,180,716,704,145,121,95,348,699,630,280,808,485,619,535,286,876,964,31,132,826,612
54;S;275,643,622,310
55;S;964,644
56;S;855,417,184
57;S;156,553,132,684,577,265
58;S;209,121,622,833,634,302,282,643,49,944,243,689,537,380,793,388,53,635,731,660,675,66,30,875,964,727,763,904,187,423
59;S;180,315,684
60;S;566,895,836,944,211
61;S;261,930,245,787,466,494,14,445,274,731,622,570,905,577,485,180,755,634,613,964,328,567,559,505
62;S;622,381,818
63;S;891,625,796,494,717,752,622,141,964,560,569,907,634,535,180,696,64,115,121,974,187,984,765,689,267,169,79,261
64;S;754,63,49,689
